ID,Votes,Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
tt8015080,2952,Godzilla: City on the Edge of Battle,2018,18 Jul 2018,101 min,"Animation, Action, Sci-Fi","Hiroyuki Seshita, Kôbun Shizuno","Gen Urobuchi (story concept), Gen Urobuchi (series composition), Sadayuki Murai (series composition), Sadayuki Murai (screenplay), Tetsuya Yamada (screenplay), Gen Urobuchi (screenplay), Ishirô Honda (character: Godzilla)","Mamoru Miyano, Takahiro Sakurai, Kana Hanazawa, Tomokazu Sugita","Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago.",Japan,N/A,,N/A,5.8,"2,871",tt8015080,movie,N/A,Polygon Pictures
tt8016648,660,Ente Mezhuthiri Athazhangal,2018,27 Jul 2018,148 min,"Drama, Romance",Sooraj Thomas,"Anoop Menon (dialogue), Anoop Menon (screenplay), Anoop Menon (story)","Anoop Menon, Mia George, Hannah Reji Koshy, Dileesh Pothan","Sanjay Paul, a chef settled in Paris who has traveled around the world wants to add Indian cuisine in his new restaurant. In his quest to get the secret recipes from his friends, he falls in love with Anjali, a custom-candle designer.",India,N/A,,N/A,8.0,548,tt8016648,movie,N/A,N/A
tt8018008,1076,BROS. Last Call,2018,19 Oct 2018,92 min,N/A,Don Tjernagel,"Matt Lee Ingebritson, Don Tjernagel","Don Tjernagel, Cassie O'Meara, Matt Lee Ingebritson, Abigail Van Patten","Comedy Matt is facing the inevitable ending of his youth, and is also alone on his weekly outing in his beloved hometown of Waterloo, Iowa. His best friend and main friend Tanner is now engaged and spending all his time with his fiance.",USA,N/A,,N/A,7.6,"1,078",tt8018008,movie,N/A,N/A
tt8020896,1393,An Elephant Sitting Still,2018,08 Mar 2019,230 min,Drama,Bo Hu,Bo Hu,"Yu Zhang, Yuchang Peng, Uvin Wang, Congxi Li",Four people in a Chinese city live through a complicated day as their lives intersect.,China,N/A,81/100,81,7.8,"1,272",tt8020896,movie,N/A,N/A
tt8023734,1603,Kadaikutty Singam,2018,12 Jul 2018,149 min,"Action, Drama",Pandiraj,"Pandiraj (dialogue), Pandiraj (screenplay), Pandiraj (story)","Karthi, Sathyaraj, Sayyeshaa Saigal, Priya Bhavani Shankar","Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united despite him being misunderstood by many.",India,N/A,,N/A,7.0,"1,568",tt8023734,movie,N/A,N/A
tt8024712,2968,Yowis Ben,2018,22 Feb 2018,99 min,"Comedy, Drama","Fajar Nugros, Bayu Skak","Bagus Bramanti, Gea Rexy, Bayu Skak","Bayu Skak, Cut Meyriska, Brandon Salim, Joshua Suherman","Bayu (Bayu Skak) loves Susan (Cut Meyriska). Because he feels inferior with his own mediocre circumstances, Bayu keeps that feeling in his heart. Things change since Susan sent voice chat ...",Indonesia,N/A,,N/A,9.0,"2,931",tt8024712,movie,N/A,N/A
tt8027322,3878,The Joke Thief,2018,16 Apr 2018,81 min,Drama,Frank D'Angelo,Frank D'Angelo,"Frank D'Angelo, Sugith Varughese, Daniel Baldwin, Francesco Antonio",The Joke Thief takes us on a journey of one man's last hurrah. Simon McCabe is a stand up comedian who has been making people laugh for 35 years. All his life he has been the life of the ...,Canada,N/A,,N/A,6.6,"3,878",tt8027322,movie,N/A,N/A
tt8032912,1176,Parwaaz Hay Junoon,2018,15 Jun 2018,N/A,"Action, War",Haseeb Hasan,Farhat Ishtiaq,"Hamza Ali Abbasi, Ahad Raza Mir, Shaz Khan, Kubra Khan",N/A,Pakistan,N/A,,N/A,N/A,N/A,tt8032912,movie,N/A,HUM TV
tt8033428,554,Uma,2018,01 Jun 2018,149 min,Drama,Srijit Mukherji,"Srijit Mukherji (story, screenplay and dialogue)","Jishu Sengupta, Sayantika Banerjee, Sara Sengupta, Anirban Bhattacharya","The plot is based on true event surrounding the life and death of Evan Leversage, who lived in St George in Ontario, Canada.",India,N/A,,N/A,7.4,454,tt8033428,movie,N/A,N/A
tt8033592,1498,Us and Them,2018,22 Jun 2018,120 min,"Drama, Romance",Rene Liu,"Wei An, Shing-Ming Ho, Rene Liu (screenplay), Yu Pan (screenplay), Yuan Yuan (screenplay)","Boran Jing, Dongyu Zhou, Zhuangzhuang Tian, Zheming Qu","During the hectic chunyun period, 2 strangers traveling home meet on the train.",China,N/A,61%,N/A,7.2,"1,443",tt8033592,movie,N/A,The Orchard
tt8041916,543,Time Jumpers,2018,01 Dec 2018,79 min,N/A,Svend Ploug Johansen,N/A,"Taylor Gerard Hart, Mathilde Norholt, Petra Staduan","When a young man finds a time machine device, his life spins out of control.",USA,N/A,,N/A,5.8,521,tt8041916,movie,N/A,N/A
tt8043092,850,Sammohanam,2018,14 Jun 2018,137 min,Romance,Mohana Krishna Indraganti,Mohana Krishna Indraganti,"Sudheer Babu Posani, Aditi Rao Hydari, Vamsi Raghava Yenumula, Anand","An unexpected encounter leads a cartoonist, who despises film actors, to fall in love with an actress.",India,N/A,,N/A,7.9,800,tt8043092,movie,N/A,Sridevi Movies
tt8043306,2631,Teefa in Trouble,2018,20 Jul 2018,155 min,"Action, Comedy, Crime, Romance",Ahsan Rahim,"Ahsan Rahim (screenplay), Ahsan Rahim (story), Ali Zafar (screenplay), Ali Zafar (story), Danyal Zafar (screenplay), Danyal Zafar (story)","Ali Zafar, Maya Ali, Mehmood Aslam, Nayyar Ejaz",Teefa goes to Poland to get Anya to Pakistan to marry Butt gangster's son but lands up in trouble with Anya's gangster father and the Polish police.,Pakistan,N/A,,N/A,7.7,"2,374",tt8043306,movie,N/A,Lightingale Productions
tt8045670,533,Dügüm Salonu,2018,16 Mar 2018,100 min,Comedy,Hakan Algül,Sahin Irmak,"Sahin Irmak, Irem Sak, Gonca Vuslateri, Emre Karayel","A groom kissed in front of a wedding room with a bride who had met and fell in love for years. Both of them are on the same day of marriage, while others in the same building are married in...",Turkey,N/A,,N/A,5.5,498,tt8045670,movie,N/A,N/A
tt8047208,1472,Taxiwaala,2018,17 Nov 2018,137 min,"Comedy, Horror, Thriller",Rahul Sankrityan,"Saikumar Reddy (dialogue), Saikumar Reddy (screenplay), Rahul Sankrityan (story)","Vijay Deverakonda, Priyanka Jawalkar, Madhunandan, Malavika Nair","A job monger, Shiva ends up as a taxiwala only to realise that his ride is a beyond what anyone could have expected.",India,N/A,,N/A,7.3,"1,431",tt8047208,movie,N/A,Freeze Frame Films
tt8051738,620,Bhaijaan Elo Re,2018,15 Jun 2018,160 min,"Action, Adventure, Comedy",Joydip Mukherjee,Pele Bhattacharya,"Donna Preston, Lee Nicholas Harris, Kharaj Mukherjee, Hiten Patel","Separated at birth, after 28 years Bhai and Jaan grow up to be as different from each other as can be. While Bhai is outspoken and a little bit of a troublemaker a daring costume designer, ...","Bangladesh, India",N/A,,N/A,8.3,576,tt8051738,movie,N/A,N/A
tt8053258,678,Manyak,2018,23 Mar 2018,73 min,"Comedy, Drama, Thriller",Onur Ünlü,Cahit Kasikcilar,"Cetin Altindal, Emel Emir, Hazar Ergüçlü, Öner Erkan","Riza, a garbage man becomes obsessed in her old mother when he finds a woman's corpse in a garbage can. But one day he meets with his new neighbor,a beautiful widow and starts to lose track...",Turkey,N/A,,N/A,7.2,330,tt8053258,movie,N/A,N/A
tt8054150,877,O chyom govoryat muzhchiny. Prodolzhenie,2018,22 Feb 2018,99 min,Comedy,Flyuza Farkhshatova,N/A,"Leonid Barats, Aleksandr Demidov, Rostislav Khait, Kamil Larin","This time Lesha, Slava, Kamil and Sasha go to St. Petersburg. And three of the four do not even know why they go there. But at some point it becomes clear that it does not matter - why. It is important that they go.",Russia,N/A,,N/A,6.3,756,tt8054150,movie,N/A,N/A
tt8055888,664,Mard Ko Dard Nahin Hota,2018,22 Mar 2019,134 min,"Action, Comedy",Vasan Bala,"Santanu Ghatak (Lyricist), Hussain Haidry (Lyricist), Garima Obrah (Lyricist)","Abhimanyu Dasani, Gulshan Devaiah, Radhika Madan, Mahesh Manjrekar","It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain, and he sets out to learn martial arts and hunt down muggers.",India,N/A,,N/A,7.3,234,tt8055888,movie,N/A,N/A
