Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
The Late Show with Stephen Colbert,2015–,08 Sep 2015,41 min,"Comedy, Talk-Show",N/A,N/A,"Stephen Colbert, Jonathan Batiste, Stay Human","Stephen Colbert took over as host, executive producer and writer of THE LATE SHOW on Tuesday, Sept. 8, 2015. The comedy-variety-talk show is broadcast five nights a week from the Ed Sullivan theater in New York.",USA,Nominated for 4 Primetime Emmys. Another 11 nominations.,,N/A,7.4,"9,074",tt3697842,series,,
Jimmy Kimmel Live!,2003–,26 Jan 2003,60 min,"Comedy, Music, Talk-Show",N/A,Jimmy Kimmel,Jimmy Kimmel,Jimmy Kimmel interviews celebrities.,USA,Won 3 Primetime Emmys. Another 2 wins & 52 nominations.,,N/A,6.7,"12,034",tt0320037,series,,
CBS News Sunday Morning,1979–,N/A,90 min,News,N/A,"Charles Kuralt, Robert Northshield","Charles Osgood, Jane Pauley","The news show that does personal interest pieces, and has done since 1979. Anything from interviews with actors, political figures, athletes, musicians, costume designers, fashion designers...",USA,18 wins & 41 nominations.,,N/A,7.8,507,tt0165001,series,,
Amy Adams: An American Cinematheque Tribute,2017,10 Nov 2017,N/A,N/A,Leslie Wilson,"Paul Flattery, David Wild","Amy Adams, Jake Gyllenhaal, Tom Hanks, Chris Messina",N/A,USA,N/A,,N/A,N/A,N/A,tt7536514,movie,N/A,N/A
Le journal du Festival,2016–,11 May 2016,N/A,N/A,N/A,N/A,Michel Denisot,N/A,France,N/A,,N/A,N/A,N/A,tt5735602,series,,
The Oscars,2017,26 Feb 2017,229 min,"Comedy, Music",Glenn Weiss,"Billy Kimball, Jon Macks, Jimmy Kimmel (special material written by), Molly McNearney (special material written by), Danny Ricker (special material written by), Gary Greenberg (special material written by), Jack Allison (special material written by), Tony Barbieri (special material written by), Jonathan Bines (special material written by), Joelle Boucai (special material written by), Gonzalo Cordova (special material written by), Josh Halloway (special material written by), Sal Iacono (special material written by), Eric Immerman (special material written by), Bess Kalb (special material written by), Jeff Loveness (special material written by), Joe Strazzullo (special material written by), Patrick Doody (Sci-Tech Awards)","Jimmy Kimmel, Justin Timberlake, Alicia Vikander, Mahershala Ali","The 89th Annual Academy Awards ceremony celebrates the film industry's best and biggest in cinema for the year 2016 with host Jimmy Kimmel, including awards for best actors, directors, songs, original screenplays and motion picture.",USA,Won 1 Primetime Emmy. Another 1 win & 9 nominations.,,N/A,6.8,"1,730",tt5850440,movie,N/A,N/A
The Envelope,2017–,08 Feb 2017,N/A,Talk-Show,N/A,N/A,"Mark Olsen, Yvonne Villarreal",N/A,USA,N/A,,N/A,N/A,N/A,tt6634050,series,,
Close Up with the Hollywood Reporter,2015–,02 Aug 2015,60 min,Talk-Show,N/A,N/A,"Lacey Rose, Stephen Galloway","'The Hollywood Reporter', in partnership with Sundance TV, holds round-table discussions with Oscar and Emmy nominees.",USA,N/A,,N/A,6.8,62,tt4931888,series,,
23rd Annual Screen Actors Guild Awards,2017,29 Jan 2017,N/A,N/A,Alan Carter,Dave Boone,"Amy Adams, Uzo Aduba, Casey Affleck, Riz Ahmed",N/A,USA,N/A,,N/A,6.2,35,tt6435824,movie,N/A,N/A
Rencontres de cinéma,2007–,30 Aug 2009,N/A,N/A,N/A,N/A,Laurent Weil,N/A,N/A,N/A,,N/A,N/A,N/A,tt5123584,series,,
